series,samplePointCount,sourceFile,year,month,monthName,temperatureC,precipitationMm,validTemperaturePointCount,validRainfallPointCount
australia,396,,2020,1,Jan,29.1,89.9,176,176
australia,396,,2020,2,Feb,28.2,84.2,176,176
australia,396,,2020,3,Mar,26.0,50.5,176,176
australia,396,,2020,4,Apr,23.7,23.9,176,176
australia,396,,2020,5,May,17.3,21.4,176,176
australia,396,,2020,6,Jun,15.9,10.9,176,176
australia,396,,2020,7,Jul,15.0,12.8,176,176
australia,396,,2020,8,Aug,17.1,21.5,176,176
australia,396,,2020,9,Sep,21.6,18.2,176,176
australia,396,,2020,10,Oct,23.5,32.4,176,176
australia,396,,2020,11,Nov,27.7,18.4,176,176
australia,396,,2020,12,Dec,27.0,104.8,176,176
australia,396,,2021,1,Jan,28.0,80.8,176,176
australia,396,,2021,2,Feb,27.0,89.5,176,176
australia,396,,2021,3,Mar,25.6,79.7,176,176
australia,396,,2021,4,Apr,22.1,19.5,176,176
australia,396,,2021,5,May,18.4,18.7,176,176
australia,396,,2021,6,Jun,15.2,27.8,176,176
australia,396,,2021,7,Jul,15.8,23.3,176,176
australia,396,,2021,8,Aug,17.1,12.8,176,176
australia,396,,2021,9,Sep,20.0,15.3,176,176
australia,396,,2021,10,Oct,23.4,27.2,176,176
australia,396,,2021,11,Nov,24.4,74.6,176,176
australia,396,,2021,12,Dec,28.1,49.0,176,176
australia,396,,2022,1,Jan,28.9,106.9,176,176
australia,396,,2022,2,Feb,27.4,57.1,176,176
australia,396,,2022,3,Mar,27.0,46.2,176,176
australia,396,,2022,4,Apr,23.5,38.4,176,176
australia,396,,2022,5,May,18.9,41.4,176,176
australia,396,,2022,6,Jun,15.4,19.1,176,176
australia,396,,2022,7,Jul,13.9,23.7,176,176
australia,396,,2022,8,Aug,16.4,26.3,176,176
australia,396,,2022,9,Sep,19.6,35.8,176,176
australia,396,,2022,10,Oct,22.6,62.5,176,176
australia,396,,2022,11,Nov,23.9,60.4,176,176
australia,396,,2022,12,Dec,26.7,75.4,176,176
australia,396,,2023,1,Jan,27.8,115.8,176,176
australia,396,,2023,2,Feb,27.7,82.7,176,176
australia,396,,2023,3,Mar,26.5,60.0,176,176
australia,396,,2023,4,Apr,21.9,41.5,176,176
australia,396,,2023,5,May,16.9,8.3,176,176
australia,396,,2023,6,Jun,15.9,29.2,176,176
australia,396,,2023,7,Jul,15.2,22.9,176,176
australia,396,,2023,8,Aug,18.1,10.2,176,176
australia,396,,2023,9,Sep,21.5,5.5,176,176
australia,396,,2023,10,Oct,23.6,8.3,176,176
australia,396,,2023,11,Nov,26.7,46.6,176,176
australia,396,,2023,12,Dec,28.6,47.8,176,176
australia,396,,2024,1,Jan,29.4,126.4,176,176
australia,396,,2024,2,Feb,29.0,79.3,176,176
australia,396,,2024,3,Mar,26.4,121.7,176,176
australia,396,,2024,4,Apr,21.4,21.2,176,176
australia,396,,2024,5,May,18.9,20.2,176,176
australia,396,,2024,6,Jun,15.6,25.5,176,176
australia,396,,2024,7,Jul,14.7,21.5,176,176
australia,396,,2024,8,Aug,18.8,18.5,176,176
australia,396,,2024,9,Sep,20.9,21.9,176,176
australia,396,,2024,10,Oct,25.0,18.7,176,176
australia,396,,2024,11,Nov,26.9,51.2,176,176
australia,396,,2024,12,Dec,28.7,71.7,176,176
australia,396,,2025,1,Jan,29.9,56.7,176,176
australia,396,,2025,2,Feb,29.0,86.5,176,176
australia,396,,2025,3,Mar,27.8,97.9,176,176
australia,396,,2025,4,Apr,22.9,34.3,176,176
australia,396,,2025,5,May,18.7,23.9,176,176
australia,396,,2025,6,Jun,15.1,15.2,176,176
australia,396,,2025,7,Jul,14.5,25.1,176,176
australia,396,,2025,8,Aug,16.2,19.9,176,176
australia,396,,2025,9,Sep,20.1,15.5,176,176
australia,396,,2025,10,Oct,25.1,23.3,176,176
australia,396,,2025,11,Nov,25.7,46.2,176,176
australia,396,,2025,12,Dec,27.9,75.7,176,176
australia,396,,2026,1,Jan,29.6,77.8,176,176
australia,396,,2026,2,Feb,27.5,138.0,176,176
australia,396,,2026,3,Mar,25.7,110.3,176,176
australia,396,,2026,4,Apr,23.1,15.3,176,176
australia,396,,2026,5,May,18.4,27.9,176,176
australia,396,,2026,6,Jun,16.4,30.7,176,176
australia,396,,2026,7,Jul,15.1,14.7,176,176
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,1,Jan,23.7,75.7,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,2,Feb,22.1,299.3,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,3,Mar,19.5,116.1,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,4,Apr,17.2,59.7,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,5,May,13.1,73.6,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,6,Jun,11.6,53.4,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,7,Jul,11.1,131.4,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,8,Aug,11.4,75.9,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,9,Sep,14.9,38.2,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,10,Oct,17.4,106.8,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,11,Nov,20.0,51.1,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2020,12,Dec,20.4,132.6,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,1,Jan,21.6,91.5,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,2,Feb,21.0,107.1,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,3,Mar,19.4,291.5,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,4,Apr,16.3,28.1,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,5,May,13.8,74.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,6,Jun,11.2,74.4,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,7,Jul,10.7,48.8,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,8,Aug,12.1,64.7,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,9,Sep,14.1,51.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2021,10,Oct,16.2,72.6,299,299
