species,latitude,longitude,coordinate_uncertainty_m,basis_of_record,event_date
Macropus giganteus,-16.67548,145.23661,20.0,OCCURRENCE,2007-05-08
Macropus giganteus,-17.6174,143.231517,,HUMAN_OBSERVATION,
Macropus giganteus,-18.13911,145.15989,100.0,OCCURRENCE,2007-12-30
Macropus giganteus,-19.80971,144.2564,100.0,OCCURRENCE,2022-12-23
Macropus giganteus,-17.5377,145.30771,100.0,OCCURRENCE,2006-03-16
Macropus giganteus,-17.54013,145.30862,100.0,OCCURRENCE,2010-12-09
Macropus giganteus,-16.578232,145.106228,,MACHINE_OBSERVATION,2024-11-17
Macropus giganteus,-20.47264,147.43409,50.0,OCCURRENCE,2006-05-07
Macropus giganteus,-18.17416,143.21347,,HUMAN_OBSERVATION,
Macropus giganteus,-19.392,144.15025,,HUMAN_OBSERVATION,
Macropus giganteus,-14.30415,143.10751,100.0,OCCURRENCE,
Macropus giganteus,-18.63338,145.23248,100.0,OCCURRENCE,2007-12-30
Macropus giganteus,-17.53632,145.30553,100.0,OCCURRENCE,2007-11-27
Macropus giganteus,-19.11167,144.16278,50.0,OCCURRENCE,
Macropus giganteus,-19.86767,144.26598,100.0,OCCURRENCE,2016-05-07
Macropus giganteus,-18.22255,144.54556,20.0,OCCURRENCE,2020-05-12
Macropus giganteus,-17.53872,145.30804,100.0,OCCURRENCE,2005-10-13
Macropus giganteus,-18.30901,145.35861,50.0,OCCURRENCE,
Macropus giganteus,-14.34749,143.33387,100.0,OCCURRENCE,2015-10-30
Macropus giganteus,-19.50236,144.17835,20.0,OCCURRENCE,2009-05-28
Macropus giganteus,-18.22554,144.67029,100.0,OCCURRENCE,2019-02-01
Macropus giganteus,-19.75429,146.45761,900.0,OCCURRENCE,1989-01-01
Macropus giganteus,-19.59289,146.89276,450.0,OCCURRENCE,1991-09-15
Macropus giganteus,-17.58696,145.30071,100.0,OCCURRENCE,2004-05-25
Macropus giganteus,-15.69693,145.14862,100.0,OCCURRENCE,2016-11-11
Macropus giganteus,-15.2818,144.70111,450.0,OCCURRENCE,1979-01-01
Macropus giganteus,-19.0451,146.41777,30.0,HUMAN_OBSERVATION,2025-05-12
Macropus giganteus,-19.4406,146.7322,10.0,HUMAN_OBSERVATION,2023-01-14
Macropus giganteus,-13.09353,142.8077,100.0,OCCURRENCE,2017-09-21
Macropus giganteus,-19.17757,145.96311,100.0,OCCURRENCE,2012-05-25
Macropus giganteus,-17.62059,145.29894,200.0,OCCURRENCE,1999-01-06
Macropus giganteus,-19.59615,144.05854,100.0,OCCURRENCE,2016-05-06
Macropus giganteus,-16.5,145.5,,HUMAN_OBSERVATION,2019-07-13
Macropus giganteus,-18.22638,144.6689,100.0,OCCURRENCE,2019-01-31
Macropus giganteus,-18.23665,145.47556,33.0,OCCURRENCE,
Macropus giganteus,-18.54221,143.89806,100.0,OCCURRENCE,2015-05-18
Macropus giganteus,-18.22665,144.55723,100.0,OCCURRENCE,
Macropus giganteus,-19.82767,144.24161,150.0,OCCURRENCE,1996-07-01
Macropus giganteus,-21.51354,148.62556,100.0,OCCURRENCE,2011-08-23
Macropus giganteus,-18.71749,145.76431,250.0,OCCURRENCE,1989-11-22
Macropus giganteus,-18.204285,144.575582,,HUMAN_OBSERVATION,2021-10-09
Macropus giganteus,-17.53587,145.3061,100.0,OCCURRENCE,2008-08-26
Macropus giganteus,-20.65804,145.12945,50.0,OCCURRENCE,2023-09-22
Macropus giganteus,-14.09804,143.54167,100.0,OCCURRENCE,2013-06-30
Macropus giganteus,-19.2363,146.6633,,HUMAN_OBSERVATION,2025-11-30
Macropus giganteus,-20.6644,141.72368,100.0,OCCURRENCE,
Macropus giganteus,-17.91688,145.35557,150.0,OCCURRENCE,2014-10-17
Macropus giganteus,-14.69547,143.49263,1000.0,OCCURRENCE,1978-05-21
Macropus giganteus,-21.57579,148.00415,100.0,OCCURRENCE,
Macropus giganteus,-17.77801,145.32513,100.0,OCCURRENCE,2005-06-11
Macropus giganteus,-17.58738,145.30099,150.0,OCCURRENCE,2004-01-21
Macropus giganteus,-16.985516,145.41608,207.0,HUMAN_OBSERVATION,2022-11-21
Macropus giganteus,-19.51554,144.21973,33.0,OCCURRENCE,
Macropus giganteus,-13.173051,142.744381,,HUMAN_OBSERVATION,2024-06-20
Macropus giganteus,-21.67649,146.86257,100.0,OCCURRENCE,
Macropus giganteus,-14.11443,142.97056,100.0,OCCURRENCE,
Macropus giganteus,-18.178217,144.616925,,HUMAN_OBSERVATION,
Macropus giganteus,-21.72611,148.09657,100.0,OCCURRENCE,
Macropus giganteus,-18.188088,144.591597,,HUMAN_OBSERVATION,
Macropus giganteus,-17.622698,145.496277,,HUMAN_OBSERVATION,2026-06-29
Macropus giganteus,-18.190053,144.5792,,HUMAN_OBSERVATION,2017-04-24
Macropus giganteus,-34.723522,139.175675,3.0,HUMAN_OBSERVATION,2025-09-02
Macropus giganteus,-17.63676,145.28692,100.0,OCCURRENCE,2008-02-03
Macropus giganteus,-21.63678,146.8966,850.0,OCCURRENCE,
Macropus giganteus,-20.925422,149.048925,,HUMAN_OBSERVATION,2024-09-01
Macropus giganteus,-17.53979,145.30876,100.0,OCCURRENCE,2010-08-06
Macropus giganteus,-20.61654,141.89865,400.0,OCCURRENCE,2018-04-02
Macropus giganteus,-18.226574,144.672356,5.0,HUMAN_OBSERVATION,2024-08-24
Macropus giganteus,-19.1067,145.20488,4.0,HUMAN_OBSERVATION,2024-07-23
Macropus giganteus,-20.925344,149.048897,253.0,HUMAN_OBSERVATION,2017-07-02
Macropus giganteus,-20.913885,149.016269,8.0,HUMAN_OBSERVATION,2012-04-11
Macropus giganteus,-18.2484,145.48728,50.0,OCCURRENCE,
Macropus giganteus,-21.374272,144.933945,61.0,HUMAN_OBSERVATION,2022-07-13
Macropus giganteus,-19.41012,144.17048,100.0,OCCURRENCE,2018-11-16
Macropus giganteus,-20.88165,148.94862,500.0,OCCURRENCE,1992-09-01
Macropus giganteus,-19.57035,144.05068,100.0,OCCURRENCE,2019-04-02
Macropus giganteus,-18.1,142.2,,HUMAN_OBSERVATION,2025-09-25
Macropus giganteus,-18.187847,144.586873,15.0,HUMAN_OBSERVATION,2024-08-06
Macropus giganteus,-18.1874,144.58248,100.0,OCCURRENCE,2007-01-01
Macropus giganteus,-16.984,145.416,,HUMAN_OBSERVATION,2026-04-08
Macropus giganteus,-17.54119,145.3113,100.0,OCCURRENCE,2009-10-17
Macropus giganteus,-20.567988,146.110332,61.0,HUMAN_OBSERVATION,2014-04-17
Macropus giganteus,-19.12624,146.48201,500.0,OCCURRENCE,2002-03-30
Macropus giganteus,-20.518334,147.812891,15.0,HUMAN_OBSERVATION,2025-10-28
Macropus giganteus,-18.20038,144.57738,,HUMAN_OBSERVATION,2023-07-11
Macropus giganteus,-18.31262,145.46639,50.0,OCCURRENCE,
Macropus giganteus,-19.57555,144.06155,50.0,OCCURRENCE,2013-10-30
Macropus giganteus,-13.61168,142.70124,100.0,OCCURRENCE,
Macropus giganteus,-19.72898,146.76955,20.0,OCCURRENCE,2011-09-19
Macropus giganteus,-19.2325,146.6541,,HUMAN_OBSERVATION,2025-08-31
Macropus giganteus,-13.0422,142.91022,100.0,OCCURRENCE,2016-10-28
Macropus giganteus,-14.97797,143.60663,100.0,OCCURRENCE,1993-02-23
Macropus giganteus,-20.924381,149.049072,,HUMAN_OBSERVATION,2024-09-02
Macropus giganteus,-19.08067,146.1136,100.0,OCCURRENCE,2014-01-19
Macropus giganteus,-16.984521,145.415254,63.0,HUMAN_OBSERVATION,2015-01-28
Macropus giganteus,-20.90329,147.79128,50.0,OCCURRENCE,2006-07-21
Macropus giganteus,-17.70054,145.44945,33.0,OCCURRENCE,
Macropus giganteus,-19.59832,146.28445,1800.0,OCCURRENCE,1991-09-01
Macropus giganteus,-21.53523,149.47867,100.0,OCCURRENCE,2008-10-14
Macropus giganteus,-17.53844,145.30818,150.0,OCCURRENCE,2005-02-04
Macropus giganteus,-19.55221,144.22584,100.0,OCCURRENCE,2022-12-24
Macropus giganteus,-21.21583,147.8516,10.0,OCCURRENCE,2010-10-17
Macropus giganteus,-18.43591,145.32036,100.0,OCCURRENCE,2007-12-30
