species,longitude,latitude,eventDate,coordinateUncertaintyM,basisOfRecord,license
Macropus giganteus,150.59509,-33.984215,2025-03-30,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.37997,-35.55002,2024-02-01,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.62633,-37.73263,2020-06-25,5.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.212573,-35.54564,2020-10-15,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,146.942697,-36.080737,2024-07-02,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,143.526,-38.46997,2020-02-18,10.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,144.30287,-37.43679,2021-10-04,10.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.437489,-35.616293,2024-01-17,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.6367,-37.2551,2023-02-05,120.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,144.0051,-37.19732,2021-11-10,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,150.32641,-35.607981,2023-12-27,14.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,153.19416,-30.09296,2020-01-05,727.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,148.495055,-31.744328,2025-09-22,5.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.810572,-33.701059,2024-10-31,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.223695,-35.3725,2020-01-24,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,152.81802,-31.27744,2020-10-24,20.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.658601,-35.105307,2022-01-29,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.26373,-30.36202,2022-05-24,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
